precision,recall,kappa,f1-score,last_precision,last_recall,last_kappa,last_f1-score,precision_pred_0_with_drift,precision_pred_0_without_drift,recall_pred_0_with_drift,recall_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift
0.23,0.23,0.1444444444444445,0.23,0.17,0.17,0.0777777777777776,0.17,0.25247601828008637,0.22373967849551307,0.25247601828008637,0.22373967849551307,0.16941780276528265,0.13748853425453067,0.25247601828008637,0.22373967849551307
0.24,0.24,0.1555555555555557,0.24,0.14,0.14,0.0444444444444446,0.14,0.31450080579882456,0.2363496435095473,0.31450080579882456,0.2363496435095473,0.23833423089146533,0.15149960808390922,0.31450080579882456,0.2363496435095473
0.28,0.28,0.2000000000000003,0.28,0.11,0.11,0.0111111111111109,0.11,0.2294506805125553,0.23874465808013215,0.2294506805125553,0.23874465808013215,0.14383409318196183,0.1541607343741926,0.2294506805125553,0.23874465808013215
0.32,0.32,0.2444444444444445,0.32,0.11,0.11,0.0111111111111109,0.11,0.3467735365955266,0.24871542332076957,0.3467735365955266,0.24871542332076957,0.27419282262335953,0.1652393631389737,0.3467735365955266,0.24871542332076957
0.36,0.36,0.2888888888888887,0.36,0.14,0.14,0.0444444444444447,0.14,0.3617768526069965,0.24255667686094376,0.3617768526069965,0.24255667686094376,0.29086317461411765,0.15839630986444714,0.3617768526069965,0.24255667686094376
0.41,0.41,0.3444444444444445,0.41,0.17,0.17,0.0777777777777779,0.17,0.3658438819030354,0.2461311834715683,0.3658438819030354,0.2461311834715683,0.29538209543731514,0.16236798363231653,0.3658438819030354,0.2461311834715683
0.42,0.42,0.3555555555555557,0.4199999999999999,0.23,0.23,0.1444444444444445,0.23,0.36749458288661296,0.23977355861550087,0.36749458288661296,0.23977355861550087,0.2972162080740756,0.15530395519838544,0.36749458288661296,0.23977355861550087
0.47,0.47,0.411111111111111,0.47,0.23,0.23,0.1444444444444441,0.23,0.36974548321417533,0.3167578002988339,0.36974548321417533,0.3167578002988339,0.299717208489254,0.24084200279968926,0.36974548321417533,0.3167578002988339
0.51,0.51,0.4555555555555556,0.51,0.23,0.23,0.1444444444444445,0.23,0.31681539966934286,0.33338636538090377,0.31681539966934286,0.33338636538090377,0.24090600807238235,0.259318185547429,0.31681539966934286,0.33338636538090377
0.48,0.48,0.4222222222222221,0.48,0.21,0.21,0.1222222222222219,0.2099999999999999,0.3657657110622766,0.35438241822240685,0.3657657110622766,0.35438241822240685,0.2952952387782078,0.2826471340969,0.3657657110622766,0.35438241822240685
0.41,0.41,0.3444444444444443,0.41,0.2,0.2,0.1111111111111111,0.2,0.34373510160256543,0.32084899848541365,0.34373510160256543,0.32084899848541365,0.2708167822970937,0.24538777616199817,0.34373510160256543,0.32084899848541365
0.32,0.32,0.2444444444444444,0.32,0.2,0.2,0.1111111111111111,0.2,0.2670030938851403,0.2806924760598623,0.2670030938851403,0.2806924760598623,0.1855589993532218,0.20076941966305867,0.2670030938851403,0.2806924760598623
0.26,0.26,0.1777777777777779,0.26,0.2,0.2,0.1111111111111112,0.2,0.2076655840521553,0.21942869016570415,0.2076655840521553,0.21942869016570415,0.11962842884153328,0.13269854534769238,0.2076655840521553,0.21942869016570415
