precision,f1-score,kappa,recall,last_precision,last_f1-score,last_kappa,last_recall,precision_pred_0_with_drift,precision_pred_0_without_drift,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift,recall_pred_0_with_drift,recall_pred_0_without_drift
0.05,0.05,0.0100041684035014,0.05,0.13,0.13,0.0935611585747031,0.13,0.1581647178765354,0.0797571336855156,0.1581647178765354,0.0797571336855156,0.11909293992660282,0.03932312118793851,0.1581647178765354,0.0797571336855156
0.04,0.04,0.0,0.04,0.13,0.13,0.0935611585747031,0.13,0.11998359152549438,0.0797571336855156,0.11998359152549438,0.0797571336855156,0.08141337859749807,0.03932312118793851,0.11998359152549438,0.0797571336855156
0.05,0.05,0.0019960079840318,0.05,0.13,0.13,0.0935611585747031,0.13,0.1544478759181873,0.0797571336855156,0.1544478759181873,0.0797571336855156,0.1183847690364012,0.03932312118793851,0.1544478759181873,0.0797571336855156
0.04,0.04,0.0,0.04,0.13,0.13,0.0935611585747031,0.13,0.11998359152549438,0.0797571336855156,0.11998359152549438,0.0797571336855156,0.07789391885092414,0.03932312118793851,0.11998359152549438,0.0797571336855156
0.04,0.04,0.0,0.04,0.15,0.15,0.114491092822169,0.15,0.11998359152549438,0.0797571336855156,0.11998359152549438,0.0797571336855156,0.07789391885092414,0.03932312118793851,0.11998359152549438,0.0797571336855156
0.04,0.04,0.0,0.04,0.14,0.14,0.1041666666666666,0.14,0.11956974087955229,0.0797571336855156,0.11956974087955229,0.0797571336855156,0.07703646373122447,0.03932312118793851,0.11956974087955229,0.0797571336855156
0.05,0.05,0.0033571128829206,0.05,0.1,0.1,0.0595611285266459,0.1,0.11127498683384132,0.0797571336855156,0.11127498683384132,0.0797571336855156,0.0647380003940144,0.03932312118793851,0.11127498683384132,0.0797571336855156
0.04,0.04,0.0,0.04,0.06,0.06,0.0162218733647305,0.06,0.15626647508976235,0.0797571336855156,0.15626647508976235,0.0797571336855156,0.11029481989494569,0.03932312118793851,0.15626647508976235,0.0797571336855156
0.04,0.04,0.0,0.04,0.05,0.05,0.0104166666666668,0.05,0.15150261555513286,0.0797571336855156,0.15150261555513286,0.0797571336855156,0.10684853505328583,0.03932312118793851,0.15150261555513286,0.0797571336855156
0.04,0.04,0.0,0.04,0.05,0.05,0.0104166666666668,0.05,0.1023882741412705,0.0797571336855156,0.1023882741412705,0.0797571336855156,0.05655672549307909,0.03932312118793851,0.1023882741412705,0.0797571336855156
0.05,0.05,0.0054438860971525,0.05,0.05,0.05,0.0076256137052126,0.05,0.10300949460493583,0.0797571336855156,0.10300949460493583,0.0797571336855156,0.05505041416010466,0.03932312118793851,0.10300949460493583,0.0797571336855156
0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.11345051788567867,0.0797571336855156,0.11345051788567867,0.0797571336855156,0.07182763573830486,0.03932312118793851,0.11345051788567867,0.0797571336855156
0.05,0.05,0.0104166666666668,0.05,0.05,0.05,0.0104166666666666,0.05,0.09612234829088082,0.0797571336855156,0.09612234829088082,0.0797571336855156,0.052272960831144286,0.03932312118793851,0.09612234829088082,0.0797571336855156
0.07,0.07,0.027400125496758,0.07,0.05,0.05,0.0101073252057934,0.05,0.10232452651096358,0.0696134776731295,0.10232452651096358,0.0696134776731295,0.061008564555714774,0.02940210325567242,0.10232452651096358,0.0696134776731295
0.09,0.09,0.0503026508035903,0.09,0.06,0.06,0.0183792815371761,0.06,0.14033623908604853,0.057404481529184904,0.14033623908604853,0.057404481529184904,0.10244427531686942,0.01532740983772852,0.14033623908604853,0.057404481529184904
0.09,0.09,0.0520833333333333,0.09,0.07,0.07,0.0253615594215049,0.07,0.1390612994894636,0.0797571336855156,0.1390612994894636,0.0797571336855156,0.09952972472070147,0.03932312118793851,0.1390612994894636,0.0797571336855156
0.07,0.07,0.03125,0.07,0.05,0.05,0.0104166666666666,0.05,0.13569145640493613,0.0797571336855156,0.13569145640493613,0.0797571336855156,0.09951567784317628,0.03932312118793851,0.13569145640493613,0.0797571336855156
0.07,0.07,0.0282131661442006,0.07,0.05,0.05,0.0100041684035014,0.05,0.09453642493687282,0.0696134776731295,0.09453642493687282,0.0696134776731295,0.05869739679729596,0.02940210325567242,0.09453642493687282,0.0696134776731295
0.05,0.05,0.0075219389887171,0.05,0.04,0.04,0.0,0.04,0.09822038089674541,0.08088463835531137,0.09822038089674541,0.08088463835531137,0.05403335648284091,0.04101132694159222,0.09822038089674541,0.08088463835531137
0.06,0.06,0.020527248098364,0.06,0.05,0.05,0.0019960079840318,0.05,0.08973425199965443,0.08088463835531137,0.08973425199965443,0.08088463835531137,0.04976205760070276,0.04101132694159222,0.08973425199965443,0.08088463835531137
0.07,0.07,0.03125,0.07,0.04,0.04,0.0,0.04,0.08776228364317869,0.0797571336855156,0.08776228364317869,0.0797571336855156,0.046693038166822035,0.03932312118793851,0.08776228364317869,0.0797571336855156
0.07,0.07,0.0271966527196652,0.07,0.04,0.04,0.0,0.04,0.09947435105535504,0.0797571336855156,0.09947435105535504,0.0797571336855156,0.05892779091095638,0.03932312118793851,0.09947435105535504,0.0797571336855156
0.06,0.06,0.0187891440501043,0.06,0.04,0.04,0.0,0.04,0.09941367142031247,0.07625418098209027,0.09941367142031247,0.07625418098209027,0.06110774566628456,0.036442942180324386,0.09941367142031247,0.07625418098209027
0.05,0.05,0.0099009900990101,0.05,0.05,0.05,0.0033571128829206,0.05,0.09237837738572546,0.08670846503071117,0.09237837738572546,0.08670846503071117,0.05277996080860292,0.04715073098304802,0.09237837738572546,0.08670846503071117
0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.09569956530691197,0.10866504528393893,0.09569956530691197,0.10866504528393893,0.05883524682715507,0.06921717623728933,0.09569956530691197,0.10866504528393893
0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.10001780779239801,0.08678755752668055,0.10001780779239801,0.08678755752668055,0.06102131246133866,0.04512488539396331,0.10001780779239801,0.08678755752668055
0.05,0.05,0.0101073252057934,0.05,0.04,0.04,0.0,0.04,0.09347063504439705,0.08678755752668055,0.09347063504439705,0.08678755752668055,0.05470597236451854,0.04512488539396331,0.09347063504439705,0.08678755752668055
0.05,0.05,0.0101073252057936,0.05,0.05,0.05,0.0054438860971525,0.05,0.09795889429192364,0.09411645084998344,0.09795889429192364,0.09411645084998344,0.062490343130904194,0.054490023497461036,0.09795889429192364,0.09411645084998344
0.05,0.05,0.0103135743306594,0.05,0.04,0.04,0.0,0.04,0.0917109252607266,0.07625418098209027,0.0917109252607266,0.07625418098209027,0.05244611518344592,0.036442942180324386,0.0917109252607266,0.07625418098209027
0.06,0.06,0.0182767624020887,0.06,0.05,0.05,0.0104166666666668,0.05,0.11158296670247017,0.09411645084998344,0.11158296670247017,0.09411645084998344,0.07224236942034296,0.054490023497461036,0.11158296670247017,0.09411645084998344
0.08,0.08,0.0404672507300793,0.08,0.07,0.07,0.027400125496758,0.07,0.1070792185390827,0.10825114705028777,0.1070792185390827,0.10825114705028777,0.06455641818545303,0.06909239321646515,0.1070792185390827,0.10825114705028777
0.07,0.07,0.0308461859107962,0.07,0.09,0.09,0.0503026508035903,0.09,0.0866791755342862,0.08678755752668055,0.0866791755342862,0.08678755752668055,0.04981432639032538,0.04512488539396331,0.0866791755342862,0.08678755752668055
0.06,0.06,0.0206292977703688,0.06,0.09,0.09,0.0520833333333333,0.09,0.09893377912444107,0.07431248765708953,0.09893377912444107,0.07431248765708953,0.06535939015310953,0.031515908698513354,0.09893377912444107,0.07431248765708953
0.06,0.06,0.017250392054365,0.06,0.07,0.07,0.03125,0.07,0.0920251115618831,0.09315652607784024,0.0920251115618831,0.09315652607784024,0.050159942644066625,0.05284851304044353,0.0920251115618831,0.09315652607784024
0.06,0.06,0.0184817792628172,0.06,0.07,0.07,0.0282131661442006,0.07,0.08717025120660961,0.10930206487304048,0.08717025120660961,0.10930206487304048,0.047264245662587905,0.07016100234863891,0.08717025120660961,0.10930206487304048
0.04,0.04,0.0,0.04,0.05,0.05,0.0075219389887171,0.05,0.12439722359506233,0.10112196062138874,0.12439722359506233,0.10112196062138874,0.08927908295491285,0.061481633170835825,0.12439722359506233,0.10112196062138874
0.06,0.06,0.0206292977703688,0.06,0.06,0.06,0.020527248098364,0.06,0.12364470344139002,0.08748307019775932,0.12364470344139002,0.08748307019775932,0.08534063885905752,0.04743606046198733,0.12364470344139002,0.08748307019775932
0.08,0.08,0.0387629296834187,0.08,0.07,0.07,0.03125,0.07,0.08892145135521523,0.08728336330335545,0.08892145135521523,0.08728336330335545,0.05199675482666461,0.04568168240411895,0.08892145135521523,0.08728336330335545
0.07,0.07,0.0288220551378446,0.07,0.07,0.07,0.0271966527196652,0.07,0.06046841471872395,0.08635479409728068,0.06046841471872395,0.08635479409728068,0.022884745429869763,0.04638116753812546,0.06046841471872395,0.08635479409728068
0.05,0.05,0.0102104605126068,0.05,0.06,0.06,0.0187891440501043,0.06,0.059663817723126206,0.08733269940244044,0.059663817723126206,0.08733269940244044,0.026789833679407165,0.04670910899898773,0.059663817723126206,0.08733269940244044
0.04,0.04,0.0,0.04,0.05,0.05,0.0099009900990101,0.05,0.07914264133889284,0.12869382905156634,0.07914264133889284,0.12869382905156634,0.038547302647011304,0.09054433073854866,0.07914264133889284,0.12869382905156634
0.06,0.06,0.0190963163936138,0.06,0.04,0.04,0.0,0.04,0.11230521353513599,0.13261481959738747,0.11230521353513599,0.13261481959738747,0.07352384329267068,0.09474041280098412,0.11230521353513599,0.13261481959738747
0.07,0.07,0.0295314619638943,0.07,0.04,0.04,0.0,0.04,0.11282955282448622,0.13261481959738747,0.11282955282448622,0.13261481959738747,0.08642716871680023,0.09474041280098412,0.11282955282448622,0.13261481959738747
0.06,0.06,0.0208333333333333,0.06,0.05,0.05,0.0101073252057934,0.05,0.12858471026107984,0.13261481959738747,0.12858471026107984,0.13261481959738747,0.0978051996131106,0.09474041280098412,0.12858471026107984,0.13261481959738747
0.04,0.04,0.0,0.04,0.05,0.05,0.0101073252057936,0.05,0.10018831127050593,0.12807181341882673,0.10018831127050593,0.12807181341882673,0.08002343208799026,0.08986275070756884,0.10018831127050593,0.12807181341882673
0.05,0.05,0.007936507936508,0.05,0.05,0.05,0.0103135743306594,0.05,0.0876322764415345,0.12807181341882673,0.0876322764415345,0.12807181341882673,0.06098455741425405,0.08986275070756884,0.0876322764415345,0.12807181341882673
0.06,0.06,0.0172503920543649,0.06,0.06,0.06,0.0182767624020887,0.06,0.10147251777853465,0.12807181341882673,0.10147251777853465,0.12807181341882673,0.06952753914235127,0.08986275070756884,0.10147251777853465,0.12807181341882673
0.07,0.07,0.0310481350281308,0.07,0.08,0.08,0.0404672507300793,0.08,0.1257803442683,0.12869382905156634,0.1257803442683,0.12869382905156634,0.08639849743897325,0.09054433073854866,0.1257803442683,0.12869382905156634
0.06,0.06,0.0208333333333334,0.06,0.07,0.07,0.0308461859107962,0.07,0.14187441163167,0.18276160576780726,0.14187441163167,0.18276160576780726,0.0960666537566118,0.14690094070656046,0.14187441163167,0.18276160576780726
0.06,0.06,0.0177638453500522,0.06,0.06,0.06,0.0206292977703688,0.06,0.12556580393366729,0.12244573879518673,0.12556580393366729,0.12244573879518673,0.08070646513311668,0.08223041336986225,0.12556580393366729,0.12244573879518673
0.05,0.05,0.0081436625600334,0.05,0.06,0.06,0.017250392054365,0.06,0.0697218796216846,0.12112961868355462,0.0697218796216846,0.12112961868355462,0.03480922125126924,0.08231907262108523,0.0697218796216846,0.12112961868355462
0.05,0.05,0.0100041684035014,0.05,0.06,0.06,0.0184817792628172,0.06,0.0743941137063129,0.10203166463171481,0.0743941137063129,0.10203166463171481,0.03816105623488023,0.06216321320181564,0.0743941137063129,0.10203166463171481
0.05,0.05,0.0104166666666666,0.05,0.04,0.04,0.0,0.04,0.0890012965692454,0.10397404397431559,0.0890012965692454,0.10397404397431559,0.04783759469633255,0.06457839531733875,0.0890012965692454,0.10397404397431559
0.06,0.06,0.0187891440501043,0.06,0.06,0.06,0.0206292977703688,0.06,0.09512897176550204,0.12351666903639137,0.09512897176550204,0.12351666903639137,0.05868090233177805,0.08519715696611477,0.09512897176550204,0.12351666903639137
0.07,0.07,0.0295314619638945,0.07,0.08,0.08,0.0387629296834187,0.08,0.0843842335827087,0.18276160576780726,0.0843842335827087,0.18276160576780726,0.04463750939478473,0.14690094070656046,0.0843842335827087,0.18276160576780726
0.06,0.06,0.0206292977703688,0.06,0.07,0.07,0.0288220551378446,0.07,0.10994616012978273,0.12807181341882673,0.10994616012978273,0.12807181341882673,0.0776091349906657,0.08986275070756884,0.10994616012978273,0.12807181341882673
0.05,0.05,0.0103135743306594,0.05,0.05,0.05,0.0102104605126068,0.05,0.10337001419566996,0.12869382905156634,0.10337001419566996,0.12869382905156634,0.06036974297770192,0.09054433073854866,0.10337001419566996,0.12869382905156634
