recall,precision,kappa,f1-score,last_recall,last_precision,last_kappa,last_f1-score,recall_pred_0_with_drift,recall_pred_0_without_drift,precision_pred_0_with_drift,precision_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift
0.604,0.604,0.0,0.604,0.636,0.636,0.0,0.636,0.6846145714326747,0.6183449897377294,0.6846145714326747,0.6183449897377294,0.002716822026911035,0.002692278800094228,0.6846145714326747,0.6183449897377294
0.606,0.606,0.0,0.606,0.642,0.642,0.0,0.642,0.6829264588243231,0.6204386678586397,0.6829264588243231,0.6204386678586397,0.005468673830640206,0.00222588453087548,0.6829264588243231,0.6204386678586397
0.599,0.599,0.0,0.599,0.63,0.63,0.0,0.63,0.6875958529117371,0.6309463500975157,0.6875958529117371,0.6309463500975157,0.003457843908636705,0.0017102545524983696,0.6875958529117371,0.6309463500975157
0.617,0.617,0.0,0.617,0.62,0.62,0.0,0.62,0.7079670617200551,0.6422942094824414,0.7079670617200551,0.6422942094824414,0.0026078035110625804,0.0023005131070702053,0.7079670617200551,0.6422942094824414
0.636,0.636,0.0,0.636,0.623,0.623,0.0,0.623,0.6903762654195034,0.6379585546633014,0.6903762654195034,0.6379585546633014,0.0026078035110625804,0.0002076615505166939,0.6903762654195034,0.6379585546633014
0.679,0.679,0.0,0.679,0.612,0.612,0.0,0.612,0.6999481956456288,0.6423664486842695,0.6999481956456288,0.6423664486842695,0.002068361652022155,0.00213033076922242,0.6999481956456288,0.6423664486842695
0.752,0.752,0.0,0.752,0.607,0.607,0.0,0.607,0.7179080011778051,0.7293092806692049,0.7179080011778051,0.7293092806692049,0.004798628207865564,0.00242757202852559,0.7179080011778051,0.7293092806692049
0.805,0.805,0.0,0.805,0.604,0.604,0.0,0.604,0.7403454544587033,0.7736547548319318,0.7403454544587033,0.7736547548319318,0.0057880356076717016,0.00463341081141814,0.7403454544587033,0.7736547548319318
0.84,0.84,0.0,0.8399999999999999,0.606,0.606,0.0,0.606,0.8047850815767773,0.8053752080630769,0.8047850815767773,0.8053752080630769,0.004011716443549952,0.00198219266810086,0.8047850815767773,0.8053752080630769
0.845,0.845,0.0,0.845,0.599,0.599,0.0,0.599,0.8177415486042947,0.8155054005447476,0.8177415486042947,0.8155054005447476,0.0018131697569557146,-0.0009400229622803739,0.8177415486042947,0.8155054005447476
0.836,0.836,0.0,0.836,0.617,0.617,0.0,0.617,0.8168358355319397,0.8152324936181956,0.8168358355319397,0.8152324936181956,5.187884951831185e-05,-0.001166462225141343,0.8168358355319397,0.8152324936181956
0.831,0.831,0.0,0.831,0.636,0.636,0.0,0.636,0.811185980456375,0.8089601233763674,0.811185980456375,0.8089601233763674,-0.0006597013139085321,-0.001601785105279813,0.811185980456375,0.8089601233763674
0.831,0.831,0.0,0.831,0.679,0.679,0.0,0.679,0.8011989449638105,0.8003648092598757,0.8011989449638105,0.8003648092598757,0.0057241093657847495,0.0012983934914000623,0.8011989449638105,0.8003648092598757
0.814,0.814,0.0,0.8140000000000001,0.752,0.752,0.0,0.752,0.805804595385231,0.8070109300515173,0.805804595385231,0.8070109300515173,0.0043127214662741385,0.0014608920702688032,0.805804595385231,0.8070109300515173
0.801,0.801,0.0,0.801,0.805,0.805,0.0,0.805,0.7986457066923282,0.7983065266624307,0.7986457066923282,0.7983065266624307,0.0012965613251835508,0.0013679560503203458,0.7986457066923282,0.7983065266624307
0.784,0.784,0.0,0.7840000000000001,0.84,0.84,0.0,0.8399999999999999,0.7810701282596648,0.7878275897027797,0.7810701282596648,0.7878275897027797,0.004237739124224798,0.0017147703382637577,0.7810701282596648,0.7878275897027797
0.788,0.788,0.0,0.788,0.845,0.845,0.0,0.845,0.7804768715357555,0.7844108163938813,0.7804768715357555,0.7844108163938813,6.872819533430645e-05,0.0008736771525028049,0.7804768715357555,0.7844108163938813
0.785,0.785,0.0,0.785,0.836,0.836,0.0,0.836,0.7835215716777457,0.7849765465178653,0.7835215716777457,0.7849765465178653,0.001514101136744672,0.0013724037000604078,0.7835215716777457,0.7849765465178653
0.776,0.776,0.0,0.776,0.831,0.831,0.0,0.831,0.7673456235017221,0.7688329203727519,0.7673456235017221,0.7688329203727519,0.0009163072016149265,-0.0016270883882308475,0.7673456235017221,0.7688329203727519
0.743,0.743,0.0,0.743,0.831,0.831,0.0,0.831,0.7516404222653454,0.7249036438918878,0.7516404222653454,0.7249036438918878,0.00021588958518425574,-0.0011663038708022257,0.7516404222653454,0.7249036438918878
0.713,0.713,0.0,0.713,0.814,0.814,0.0,0.8140000000000001,0.7414256708126775,0.7223867654454798,0.7414256708126775,0.7223867654454798,0.001787669831045505,0.0005738664237785763,0.7414256708126775,0.7223867654454798
0.695,0.695,0.0,0.695,0.801,0.801,0.0,0.801,0.7379027270383615,0.73279910918072,0.7379027270383615,0.73279910918072,0.0024391557521340336,-0.0004990584288511618,0.7379027270383615,0.73279910918072
0.693,0.693,0.0,0.693,0.784,0.784,0.0,0.7840000000000001,0.7453074324722173,0.7327669429131144,0.7453074324722173,0.7327669429131144,0.0019905018032949015,-0.00014117846513453413,0.7453074324722173,0.7327669429131144
