precision,recall,kappa,f1-score,last_precision,last_recall,last_kappa,last_f1-score,precision_pred_0_with_drift,precision_pred_0_without_drift,recall_pred_0_with_drift,recall_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift
0.05,0.05,0.0103135743306593,0.05,0.04,0.04,0.0,0.04,0.10048558075235618,0.08282359634775627,0.10048558075235618,0.08282359634775627,0.06437716237943354,0.03781453367900168,0.10048558075235618,0.08282359634775627
0.05,0.05,0.0104166666666668,0.05,0.04,0.04,0.0,0.04,0.09551118288812825,0.06050083009270381,0.09551118288812825,0.06050083009270381,0.055642431464334625,0.019901571785565574,0.09551118288812825,0.06050083009270381
0.06,0.06,0.0166335390731248,0.06,0.04,0.04,1.1102230246251563e-16,0.04,0.10416001862409191,0.0945767415409404,0.10416001862409191,0.0945767415409404,0.060860738124782335,0.0499256787295537,0.10416001862409191,0.0945767415409404
0.06,0.06,0.020527248098364,0.06,0.04,0.04,0.0,0.04,0.11424177389487378,0.0956132355988452,0.11424177389487378,0.0956132355988452,0.08048010963380275,0.05201658716175567,0.11424177389487378,0.0956132355988452
0.07,0.07,0.0310481350281307,0.07,0.04,0.04,0.0,0.04,0.11215033386438666,0.10662403653817236,0.11215033386438666,0.10662403653817236,0.07848154155163276,0.06739942755145122,0.11215033386438666,0.10662403653817236
0.07,0.07,0.03125,0.07,0.04,0.04,0.0,0.04,0.12421741097841962,0.11874415052199347,0.12421741097841962,0.11874415052199347,0.08749303375709501,0.08228768531606775,0.12421741097841962,0.11874415052199347
0.06,0.06,0.0161189030772451,0.06,0.04,0.04,0.0,0.04,0.10384682378034892,0.08633244610591188,0.10384682378034892,0.08633244610591188,0.07051358877552207,0.04745264344404891,0.10384682378034892,0.08633244610591188
0.05,0.05,0.0092814683491501,0.05,0.04,0.04,0.0,0.04,0.0871336103346575,0.08300221327316794,0.0871336103346575,0.08300221327316794,0.04319361417438667,0.03917061543875164,0.0871336103346575,0.08300221327316794
0.06,0.06,0.0208333333333334,0.06,0.04,0.04,0.0,0.04,0.10888672735145813,0.10957318990756544,0.10888672735145813,0.10957318990756544,0.07356192810819798,0.06903795733080688,0.10888672735145813,0.10957318990756544
0.07,0.07,0.03125,0.07,0.04,0.04,0.0,0.04,0.09988741233414236,0.13490293202124692,0.09988741233414236,0.13490293202124692,0.0641003735050764,0.09670979963385241,0.09988741233414236,0.13490293202124692
0.08,0.08,0.0368509212730318,0.08,0.04,0.04,1.1102230246251563e-16,0.04,0.10979031050540335,0.12478412194569631,0.10979031050540335,0.12478412194569631,0.07568623192565602,0.08753010989899243,0.10979031050540335,0.12478412194569631
0.06,0.06,0.0201188366517254,0.06,0.04,0.04,0.0,0.04,0.09690068173950188,0.11873018539368327,0.09690068173950188,0.11873018539368327,0.05420341124907694,0.0794029289946068,0.09690068173950188,0.11873018539368327
0.05,0.05,0.0104166666666666,0.05,0.04,0.04,0.0,0.04,0.10424763999606751,0.09966382599712904,0.10424763999606751,0.09966382599712904,0.06566250487840718,0.058717887226871934,0.10424763999606751,0.09966382599712904
0.08,0.08,0.0416666666666668,0.08,0.04,0.04,0.0,0.04,0.11767217530579271,0.09506661079541197,0.11767217530579271,0.09506661079541197,0.07425672654379009,0.05407584301938565,0.11767217530579271,0.09506661079541197
0.14,0.14,0.1020152448574711,0.14,0.05,0.05,0.0104166666666666,0.05,0.11369652644502531,0.05298275259553178,0.11369652644502531,0.05298275259553178,0.07638968126737818,0.011589599855525549,0.11369652644502531,0.05298275259553178
0.19,0.19,0.1553701772679874,0.19,0.05,0.05,0.0045059205700513,0.05,0.1262899291334217,0.09914597053375035,0.1262899291334217,0.09914597053375035,0.09247447319463696,0.06119095644526855,0.1262899291334217,0.09914597053375035
