recall,f1-score,kappa,precision,last_recall,last_f1-score,last_kappa,last_precision,recall_pred_0_with_drift,recall_pred_0_without_drift,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift,precision_pred_0_with_drift,precision_pred_0_without_drift
0.815,0.815,0.0,0.815,0.673,0.673,0.3108535300316122,0.673,0.8026755903434716,0.8028320350638636,0.8026755903434716,0.8028320350638636,0.03287475034969149,0.03661572925766934,0.8026755903434716,0.8028320350638636
0.807,0.807,0.0095656457837259,0.807,0.656,0.656,0.2603295833763374,0.656,0.8045500525811049,0.7993175487434643,0.8045500525811049,0.7993175487434643,0.022670330679878933,0.01754688147348928,0.8045500525811049,0.7993175487434643
0.805,0.805,0.0287490287490287,0.805,0.666,0.666,0.2470185089162928,0.666,0.8055899147008531,0.8009564808626595,0.8055899147008531,0.8009564808626595,0.014511904432273705,0.025252779263606164,0.8055899147008531,0.8009564808626595
0.794,0.7940000000000002,0.050682494769537,0.794,0.68,0.68,0.205087440381558,0.68,0.7725276749893755,0.7971753119397085,0.7725276749893755,0.7971753119397085,0.024837155198152834,0.02635733255156132,0.7725276749893755,0.7971753119397085
0.776,0.776,0.0581903800874537,0.776,0.725,0.7250000000000001,0.1810406442083193,0.725,0.7740044534977762,0.7787522718613472,0.7740044534977762,0.7787522718613472,0.020031381791586683,0.03226646660535206,0.7740044534977762,0.7787522718613472
0.755,0.755,0.0422654136631589,0.755,0.764,0.764,0.0880989180834621,0.764,0.7345107017606215,0.7345313416839704,0.7345107017606215,0.7345313416839704,0.019602320138026878,0.036110989495445736,0.7345107017606215,0.7345313416839704
0.723,0.723,0.0162374099697413,0.723,0.824,0.824,0.0,0.824,0.7206221918152137,0.7205319690628156,0.7206221918152137,0.7205319690628156,0.030075235612301694,0.03943914288101288,0.7206221918152137,0.7205319690628156
0.69,0.69,0.0809096030122447,0.69,0.815,0.815,0.0,0.815,0.7409325419597568,0.6911162531778083,0.7409325419597568,0.6911162531778083,0.04773585664670154,0.07489340120501854,0.7409325419597568,0.6911162531778083
0.664,0.664,0.133716972959594,0.664,0.807,0.807,0.0095656457837259,0.807,0.6624302581763553,0.6842227915591865,0.6624302581763553,0.6842227915591865,0.0582873253813559,0.06914754162616893,0.6624302581763553,0.6842227915591865
0.631,0.631,0.1833247755803041,0.631,0.805,0.805,0.0287490287490287,0.805,0.650303669250816,0.6672089830083785,0.650303669250816,0.6672089830083785,0.059144740195161596,0.0841402054870082,0.650303669250816,0.6672089830083785
