recall,f1-score,kappa,precision,last_recall,last_f1-score,last_kappa,last_precision,recall_pred_0_with_drift,recall_pred_0_without_drift,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift,precision_pred_0_with_drift,precision_pred_0_without_drift
0.07,0.07,0.0288220551378446,0.07,0.05,0.05,0.0092814683491501,0.05,0.09898639417897052,0.06745852805357663,0.09898639417897052,0.06745852805357663,0.05619598797368324,0.02547337672438399,0.09898639417897052,0.06745852805357663
0.08,0.08,0.0415668298781124,0.08,0.04,0.04,0.0,0.04,0.09494687288182459,0.07150881638910671,0.09494687288182459,0.07150881638910671,0.05362526015590392,0.029820027212133223,0.09494687288182459,0.07150881638910671
0.07,0.07,0.0311490780289612,0.07,0.03,0.03,0.0,0.03,0.09708627498614973,0.06836462057955127,0.09708627498614973,0.06836462057955127,0.05550431095666536,0.028097802112527017,0.09708627498614973,0.06836462057955127
0.09,0.09,0.0443184204998949,0.09,0.02,0.02,0.0,0.02,0.0758503047459219,0.07235827132556455,0.0758503047459219,0.07235827132556455,0.0356019870613768,0.032316773204522295,0.0758503047459219,0.07235827132556455
0.09,0.09,0.0488136301871016,0.09,0.06,0.06,0.0190963163936138,0.06,0.09735475854514114,0.07191212634406674,0.09735475854514114,0.07191212634406674,0.056312738528641285,0.031874656471795104,0.09735475854514114,0.07191212634406674
0.08,0.08,0.0416666666666666,0.08,0.06,0.06,0.0173531256533555,0.06,0.09696121906550159,0.059086547507678625,0.09696121906550159,0.059086547507678625,0.055474318441086995,0.01788559651276252,0.09696121906550159,0.059086547507678625
0.07,0.07,0.03125,0.07,0.07,0.07,0.03125,0.07,0.09628804755757193,0.07068120410407444,0.09628804755757193,0.07068120410407444,0.05507710517370301,0.03186181329583707,0.09628804755757193,0.07068120410407444
0.08,0.08,0.0338164251207729,0.08,0.06,0.06,0.0208333333333333,0.06,0.09629012769364632,0.07149256290521243,0.09629012769364632,0.07149256290521243,0.05471563896681121,0.032451543340118585,0.09629012769364632,0.07149256290521243
0.08,0.08,0.0397662039453085,0.08,0.07,0.07,0.0255658005029337,0.07,0.09818582785294498,0.0875837377029126,0.09818582785294498,0.0875837377029126,0.055276233740125205,0.04805652885711672,0.09818582785294498,0.0875837377029126
0.07,0.07,0.0312499999999998,0.07,0.07,0.07,0.0269930947897051,0.07,0.09629017485554038,0.08488204120835002,0.09629017485554038,0.08488204120835002,0.05359531654583271,0.04665418070493658,0.09629017485554038,0.08488204120835002
0.07,0.07,0.03125,0.07,0.05,0.05,0.0104166666666666,0.05,0.10608960912931831,0.07220877625102701,0.10608960912931831,0.07220877625102701,0.06566164151916562,0.03128240644484264,0.10608960912931831,0.07220877625102701
0.08,0.08,0.0340193196136074,0.08,0.04,0.04,0.0,0.04,0.0949967477659882,0.06393971086146821,0.0949967477659882,0.06393971086146821,0.054709751801710484,0.021195138055836376,0.0949967477659882,0.06393971086146821
0.07,0.07,0.0293288800751487,0.07,0.07,0.07,0.0238270179489872,0.07,0.09404588987502151,0.06758264340795894,0.09404588987502151,0.06758264340795894,0.05313273712431006,0.025800620930608975,0.09404588987502151,0.06758264340795894
0.07,0.07,0.0311490780289612,0.07,0.09,0.09,0.0507979555648275,0.09,0.09641561909973205,0.08215699209026453,0.09641561909973205,0.08215699209026453,0.054759475265570505,0.04111731967647485,0.09641561909973205,0.08215699209026453
0.07,0.07,0.03125,0.07,0.1,0.1,0.0625,0.1,0.09816821426354963,0.08135021282735995,0.09816821426354963,0.08135021282735995,0.05532510692785415,0.041987790034793054,0.09816821426354963,0.08135021282735995
0.07,0.07,0.024339068401175,0.07,0.07,0.07,0.03125,0.07,0.08591294414517583,0.08209056100207392,0.08591294414517583,0.08209056100207392,0.0459180954110426,0.04326486772169834,0.08591294414517583,0.08209056100207392
0.08,0.08,0.0388633514417049,0.08,0.07,0.07,0.0242367012905256,0.07,0.09403797017895854,0.06763534760884578,0.09403797017895854,0.06763534760884578,0.05368212483295879,0.027297441651511073,0.09403797017895854,0.06763534760884578
0.08,0.08,0.0410673337502605,0.08,0.07,0.07,0.0288220551378446,0.07,0.0955874428354239,0.07221813399309744,0.0955874428354239,0.07221813399309744,0.05394621154881838,0.030380600458142303,0.0955874428354239,0.07221813399309744
0.09,0.09,0.0517870167760758,0.09,0.08,0.08,0.0415668298781124,0.08,0.10052913771289716,0.06541649287772099,0.10052913771289716,0.06541649287772099,0.059701712631032404,0.024938989375652903,0.10052913771289716,0.06541649287772099
0.14,0.14,0.1005124986926054,0.14,0.07,0.07,0.0311490780289612,0.07,0.1047511553318255,0.09423181379077665,0.1047511553318255,0.09423181379077665,0.06486913843826235,0.056136015957531774,0.1047511553318255,0.09423181379077665
0.1,0.1,0.0608368986747366,0.1,0.09,0.09,0.0443184204998949,0.09,0.10776916867616544,0.07412280760373569,0.10776916867616544,0.07412280760373569,0.06897398759926462,0.039630194783317356,0.10776916867616544,0.07412280760373569
0.12,0.12,0.0825688073394496,0.12,0.09,0.09,0.0488136301871016,0.09,0.09533393717069157,0.06747508438558633,0.09533393717069157,0.06747508438558633,0.05263053754755099,0.028016549232586355,0.09533393717069157,0.06747508438558633
0.1,0.1,0.0619136960600374,0.1,0.08,0.08,0.0416666666666666,0.08,0.1082424696834519,0.08165723600358432,0.1082424696834519,0.08165723600358432,0.06779645971768615,0.045497217366606335,0.1082424696834519,0.08165723600358432
0.09,0.09,0.0502035278154681,0.09,0.07,0.07,0.03125,0.07,0.10051007268520007,0.08581699537683458,0.10051007268520007,0.08581699537683458,0.061222554204083256,0.047005663105194107,0.10051007268520007,0.08581699537683458
0.1,0.1,0.0599540421976186,0.1,0.08,0.08,0.0338164251207729,0.08,0.11794184105812135,0.09197097925266218,0.11794184105812135,0.09197097925266218,0.07969874770485705,0.056015408027561414,0.11794184105812135,0.09197097925266218
0.09,0.09,0.0504017531044558,0.09,0.08,0.08,0.0397662039453085,0.08,0.11653136066728566,0.09619155469358687,0.11653136066728566,0.09619155469358687,0.07757763351878999,0.05929680300323694,0.11653136066728566,0.09619155469358687
0.08,0.08,0.040967372042114,0.08,0.07,0.07,0.0312499999999998,0.07,0.1114694323684198,0.08327351281015372,0.1114694323684198,0.08327351281015372,0.07314877741596747,0.04254973540420396,0.1114694323684198,0.08327351281015372
0.1,0.1,0.0595611285266459,0.1,0.07,0.07,0.03125,0.07,0.11150712130438788,0.08164489863862177,0.11150712130438788,0.08164489863862177,0.07344710913652759,0.04126012543744867,0.11150712130438788,0.08164489863862177
0.08,0.08,0.0398664161970362,0.08,0.08,0.08,0.0340193196136074,0.08,0.10254460670024315,0.08516036184455182,0.10254460670024315,0.08516036184455182,0.0646999329268103,0.04604268203552408,0.10254460670024315,0.08516036184455182
0.1,0.1,0.0610328638497653,0.1,0.07,0.07,0.0293288800751487,0.07,0.11193840394409381,0.09543789365106697,0.11193840394409381,0.09543789365106697,0.07589601234433482,0.05548205947253987,0.11193840394409381,0.09543789365106697
0.11,0.11,0.0722401751276973,0.11,0.07,0.07,0.0311490780289612,0.07,0.10614284278747081,0.09902169738496536,0.10614284278747081,0.09902169738496536,0.06769178052408688,0.0578620135181216,0.10614284278747081,0.09902169738496536
0.09,0.09,0.0474196587459436,0.09,0.07,0.07,0.03125,0.07,0.10281478771640272,0.10049687108827893,0.10281478771640272,0.10049687108827893,0.06480418861044629,0.060684438956793804,0.10281478771640272,0.10049687108827893
0.08,0.08,0.0388633514417049,0.08,0.07,0.07,0.024339068401175,0.07,0.10807437236298756,0.08125869923875065,0.10807437236298756,0.08125869923875065,0.0688888102862821,0.04037386415207536,0.10807437236298756,0.08125869923875065
0.09,0.09,0.0517870167760758,0.09,0.08,0.08,0.0388633514417049,0.08,0.0955459323921214,0.07099340555669831,0.0955459323921214,0.07099340555669831,0.05552332974112233,0.030910189372490744,0.0955459323921214,0.07099340555669831
0.1,0.1,0.0623046468014168,0.1,0.08,0.08,0.0410673337502605,0.08,0.09667286851229431,0.07245720149367715,0.09667286851229431,0.07245720149367715,0.0560905443881659,0.03415990818453658,0.09667286851229431,0.07245720149367715
0.12,0.12,0.0796904413302657,0.12,0.09,0.09,0.0517870167760758,0.09,0.10566806732423945,0.0940879198981639,0.10566806732423945,0.0940879198981639,0.06606500686225598,0.055848147996426505,0.10566806732423945,0.0940879198981639
0.08,0.08,0.0384615384615385,0.08,0.14,0.14,0.1005124986926054,0.14,0.10786691790384932,0.10264835076461165,0.10786691790384932,0.10264835076461165,0.06798101693269411,0.06341479098837131,0.10786691790384932,0.10264835076461165
0.07,0.07,0.0304420350291911,0.07,0.1,0.1,0.0608368986747366,0.1,0.1081026113221517,0.0872815940892618,0.1081026113221517,0.0872815940892618,0.0670486543865789,0.04806326168919435,0.1081026113221517,0.0872815940892618
